dimension_id-password_id,encrypted,password,decrypted
16-153,29AB78D5D5342751,41D7,687C390294E36686
16-157,29AB78D5D5342751,B178,98D3C9AD644C9629
29-247,252CB6AB9EC37B4B,0C85,29A9BA2E924677CE
29-358,252CB6AB9EC37B4B,84CD,A1E132661A0EFF86
34-365,DAD565A7ABFB7140,7C14,A6C119B3D7EF0D54
34-375,DAD565A7ABFB7140,D1FC,0B29B45B7A07A0BC
42-524,7C905AA744D1946E,6A0C,169C30AB2EDDFE62
42-583,7C905AA744D1946E,FA7D,86EDA0DABEAC6E13
74-742,B2785D4D6DF8D98F,6E8B,DCF333C60373B704
74-751,B2785D4D6DF8D98F,74F3,C68B29BE190BAD7C
85-835,55CA09ACF8580EC3,F13E,A4F4F8920966FFFD
85-839,55CA09ACF8580EC3,C193,9459C83F39CBCF50
